_id,Sample Number,Sample Date,PartialPostalCode,Lead Amount (ppm),SampleDate
2593,1621133,2014-07-31,M6E,0.000184,2014-07-31
2594,1621350,2014-07-31,M1E,0.0000645,2014-07-31
2595,1618351,2014-07-31,M1T,0.000509,2014-07-31
2596,1621336,2014-07-31,M6G,0.000988,2014-07-31
2597,1621272,2014-07-31,M9R,<0.00005,2014-07-31
2598,1621337,2014-07-31,M4X,0.00233,2014-07-31
2599,1618354,2014-07-31,M6H,0.00144,2014-07-31
2600,1621273,2014-07-31,M6S,0.000212,2014-07-31
2601,1621270,2014-07-31,M2P,0.000153,2014-07-31
2602,1621338,2014-07-31,M6A,0.0000509,2014-07-31
2603,1621233,2014-08-01,M4E,0.000364,2014-08-01
2604,1620662,2014-08-01,M4N,0.000127,2014-08-01
2605,1621230,2014-08-01,M9P,0.0000817,2014-08-01
2606,1621330,2014-08-01,M4S,0.00451,2014-08-01
2607,1622113,2014-08-01,M4K,0.0000538,2014-08-01
2608,1622173,2014-08-01,M4J,0.000963,2014-08-01
2609,1622117,2014-08-01,M4C,0.00114,2014-08-01
2610,1621204,2014-08-01,M6G,0.000266,2014-08-01
2611,1620669,2014-08-01,M4N,0.000460,2014-08-01
2612,1622116,2014-08-01,M4J,0.00897,2014-08-01
2613,1622118,2014-08-01,M4L,0.000586,2014-08-01
2614,1621320,2014-08-01,M6P,<0.00005,2014-08-01
2615,1621329,2014-08-01,M6C,0.000381,2014-08-01
2616,1636194,2014-08-02,M6C,0.00356,2014-08-02
2617,1621215,2014-08-02,M8Y,0.000124,2014-08-02
2618,1622135,2014-08-04,M4B,<0.00005,2014-08-04
2619,1621335,2014-08-05,M4R,0.00266,2014-08-05
2620,1626240,2014-08-05,M6S,0.00635,2014-08-05
2621,1622346,2014-08-05,M4E,0.0000753,2014-08-05
2622,1621314,2014-08-05,M6N,0.00129,2014-08-05
2623,1621212,2014-08-05,M6R,<0.00005,2014-08-05
2624,1626173,2014-08-05,M6S,0.000335,2014-08-05
2625,1622115,2014-08-05,M4C,0.00111,2014-08-05
2626,1622176,2014-08-05,M4J,<0.00005,2014-08-05
2627,1622114,2014-08-05,M4M,0.00312,2014-08-05
2628,1621341,2014-08-05,M6S,0.0000846,2014-08-05
2629,1626254,2014-08-05,M6S,0.00651,2014-08-05
2630,1621223,2014-08-05,M6S,0.0000848,2014-08-05
2631,1622177,2014-08-05,M4C,0.0000758,2014-08-05
2632,1626912,2014-08-05,M4N,<0.00005,2014-08-05
2633,1621152,2014-08-06,M6M,0.0000561,2014-08-06
2634,1622184,2014-08-06,M4B,0.00395,2014-08-06
2635,1622181,2014-08-06,M4L,0.000137,2014-08-06
2636,1624591,2014-08-06,M6S,0.000195,2014-08-06
2637,1622178,2014-08-06,M4J,0.000441,2014-08-06
2638,1624596,2014-08-06,M6S,0.00169,2014-08-06
2639,1624597,2014-08-06,M2K,<0.00005,2014-08-06
2640,1627041,2014-08-06,M3B,0.000101,2014-08-06
2641,1624594,2014-08-06,M4B,0.000418,2014-08-06
2642,1627018,2014-08-06,M1L,0.0000973,2014-08-06
2643,1626263,2014-08-06,M6C,0.00136,2014-08-06
2644,1626272,2014-08-06,M4K,0.00113,2014-08-06
2645,1622180,2014-08-06,M4J,0.000915,2014-08-06
2646,1624598,2014-08-06,M6S,0.0000779,2014-08-06
2647,1626230,2014-08-06,M6E,0.0124,2014-08-06
2648,1628368,2014-08-06,M4K,0.00471,2014-08-06
2649,1626175,2014-08-07,M6S,0.00320,2014-08-07
2650,1626910,2014-08-07,M6G,0.000673,2014-08-07
2651,1627021,2014-08-07,M4L,0.00162,2014-08-07
2652,1626271,2014-08-07,M8W,0.000560,2014-08-07
2653,1627020,2014-08-07,M4N,0.00325,2014-08-07
2654,1626416,2014-08-07,M6K,0.000255,2014-08-07
2655,1625461,2014-08-07,M5S,0.0000582,2014-08-07
2656,1624592,2014-08-07,M4R,0.00362,2014-08-07
2657,1624593,2014-08-07,M4S,0.00257,2014-08-07
2658,1626194,2014-08-07,M6J,0.000527,2014-08-07
2659,1627311,2014-08-07,M4K,0.000320,2014-08-07
2660,1626262,2014-08-07,M6P,<0.00005,2014-08-07
2661,1627061,2014-08-07,M4E,0.000439,2014-08-07
2662,1624584,2014-08-07,M4R,0.00946,2014-08-07
2663,1626961,2014-08-08,M8V,0.000216,2014-08-08
2664,1626417,2014-08-08,M6E,0.00213,2014-08-08
2665,1627249,2014-08-08,M4E,0.00348,2014-08-08
2666,1624590,2014-08-08,M5M,0.00225,2014-08-08
2667,1626987,2014-08-08,M6M,0.000107,2014-08-08
2668,1625476,2014-08-08,M6R,0.00123,2014-08-08
2669,1627042,2014-08-08,M4J,0.000713,2014-08-08
2670,1627016,2014-08-08,M1P,<0.00005,2014-08-08
2671,1625471,2014-08-08,M6P,0.000347,2014-08-08
2672,1626419,2014-08-08,M4M,0.00418,2014-08-08
2673,1626980,2014-08-08,M6C,0.00110,2014-08-08
2674,1626332,2014-08-08,M4K,0.0000520,2014-08-08
2675,1632119,2014-08-09,M4M,0.000505,2014-08-09
2676,1626925,2014-08-10,M4M,0.00135,2014-08-10
2677,1624580,2014-08-10,M2J,0.0000761,2014-08-10
2678,1626277,2014-08-10,M6S,0.00119,2014-08-10
2679,1627017,2014-08-10,M4K,0.00662,2014-08-10
2680,1626966,2014-08-11,M5N,<0.00005,2014-08-11
2681,1625480,2014-08-11,M6R,<0.00005,2014-08-11
2682,1627007,2014-08-11,M2N,0.0000648,2014-08-11
2683,1626939,2014-08-11,M9W,0.0000627,2014-08-11
2684,1627288,2014-08-11,M4J,0.00120,2014-08-11
2685,1627319,2014-08-11,M4X,<0.00005,2014-08-11
2686,1627240,2014-08-11,M4E,0.000803,2014-08-11
2687,1627043,2014-08-11,M4C,<0.00005,2014-08-11
2688,1627225,2014-08-11,M4J,0.00230,2014-08-11
2689,1627257,2014-08-11,M4C,0.00831,2014-08-11
2690,1627019,2014-08-11,M4G,0.000771,2014-08-11
2691,1626444,2014-08-11,M6N,0.000167,2014-08-11
2692,1626418,2014-08-11,M6G,0.000540,2014-08-11
2693,1627029,2014-08-11,M4S,0.00633,2014-08-11
2694,1627325,2014-08-12,M4C,0.000164,2014-08-12
2695,1627040,2014-08-12,M4S,0.00552,2014-08-12
2696,1627064,2014-08-12,M4M,0.000992,2014-08-12
2697,1626319,2014-08-12,M6N,0.00165,2014-08-12
2698,1628469,2014-08-12,M4S,0.000263,2014-08-12
2699,1628464,2014-08-12,M5M,0.000145,2014-08-12
2700,1626267,2014-08-12,M6P,0.00217,2014-08-12
2701,1627037,2014-08-12,M9A,0.000370,2014-08-12
2702,1627044,2014-08-12,M4J,0.00504,2014-08-12
2703,1627022,2014-08-12,M6K,0.0163,2014-08-12
2704,1625465,2014-08-12,M6P,0.00156,2014-08-12
2705,1626174,2014-08-12,M6H,0.0000858,2014-08-12
2706,1628459,2014-08-12,M5M,0.00216,2014-08-12
2707,1626261,2014-08-12,M6S,0.000255,2014-08-12
2708,1627062,2014-08-12,M4C,0.00232,2014-08-12
2709,1626310,2014-08-12,M4M,0.00198,2014-08-12
2710,1627046,2014-08-12,M4J,0.0000642,2014-08-12
2711,1632968,2014-08-12,M1M,<0.00005,2014-08-12
2712,1628965,2014-08-12,M6E,0.000409,2014-08-12
2713,1626914,2014-08-12,M4L,0.00359,2014-08-12
2714,1626913,2014-08-13,M4L,0.00466,2014-08-13
2715,1628887,2014-08-13,M6P,0.000135,2014-08-13
2716,1628986,2014-08-13,M6S,0.00565,2014-08-13
2717,1630053,2014-08-13,M4L,0.00692,2014-08-13
2718,1628467,2014-08-13,M5M,0.0000551,2014-08-13
2719,1627039,2014-08-13,M4N,0.00495,2014-08-13
2720,1628984,2014-08-13,M6E,0.00463,2014-08-13
2721,1626266,2014-08-13,M4R,0.00289,2014-08-13
2722,1627045,2014-08-13,M4J,0.000229,2014-08-13
2723,1627078,2014-08-13,M4C,0.000310,2014-08-13
2724,1626312,2014-08-13,M6G,0.000936,2014-08-13
2725,1628915,2014-08-13,M6R,0.00512,2014-08-13
2726,1628485,2014-08-13,M4P,0.000107,2014-08-13
2727,1628966,2014-08-13,M8V,<0.00005,2014-08-13
2728,1632900,2014-08-13,M1B,0.000337,2014-08-13
2729,1628894,2014-08-13,M6S,0.00458,2014-08-13
2730,1628437,2014-08-13,M4N,0.000149,2014-08-13
2731,1627329,2014-08-13,M4C,0.0000950,2014-08-13
2732,1628924,2014-08-13,M8V,0.000223,2014-08-13
2733,1628922,2014-08-13,M6K,0.000172,2014-08-13
2734,1628304,2014-08-13,M5R,0.000144,2014-08-13
2735,1628466,2014-08-13,M6S,<0.00005,2014-08-13
2736,1632912,2014-08-14,M1N,0.0000532,2014-08-14
2737,1628370,2014-08-14,M6G,0.000131,2014-08-14
2738,1628301,2014-08-14,M6N,0.00205,2014-08-14
2739,1629924,2014-08-14,M4C,<0.00005,2014-08-14
2740,1630075,2014-08-14,M4J,0.00464,2014-08-14
2741,1629915,2014-08-14,M4J,<0.00005,2014-08-14
2742,1628868,2014-08-14,M5S,<0.00005,2014-08-14
2743,1632896,2014-08-14,M1M,0.00316,2014-08-14
2744,1629910,2014-08-14,M4C,0.000101,2014-08-14
2745,1630043,2014-08-14,M4G,0.00826,2014-08-14
2746,1628903,2014-08-14,M6P,0.00138,2014-08-14
2747,1630061,2014-08-14,M4J,0.000502,2014-08-14
2748,1630322,2014-08-14,M4E,0.00324,2014-08-14
2749,1628920,2014-08-14,M6R,0.00974,2014-08-14
2750,1628465,2014-08-15,M4J,0.000165,2014-08-15
2751,1628953,2014-08-15,M8V,0.000148,2014-08-15
2752,1628325,2014-08-15,M6G,0.00122,2014-08-15
2753,1628923,2014-08-15,M8Y,0.0000625,2014-08-15
2754,1628406,2014-08-15,M5M,0.000252,2014-08-15
2755,1628423,2014-08-15,M4P,0.0000998,2014-08-15
2756,1630060,2014-08-15,M4E,<0.00005,2014-08-15
2757,1628858,2014-08-15,M8V,0.000602,2014-08-15
2758,1628421,2014-08-15,M2R,0.000449,2014-08-15
2759,1629898,2014-08-15,M5M,0.0118,2014-08-15
2760,1630077,2014-08-15,M4L,<0.00005,2014-08-15
2761,1628303,2014-08-15,M4E,0.00342,2014-08-15
2762,1630044,2014-08-15,M4K,0.0000696,2014-08-15
2763,1628300,2014-08-16,M6H,<0.00005,2014-08-16
2764,1632000,2014-08-16,M6S,<0.00005,2014-08-16
2765,1632905,2014-08-17,M6J,0.00326,2014-08-17
2766,1628321,2014-08-17,M4S,0.0281,2014-08-17
2767,1630048,2014-08-17,M1N,0.00195,2014-08-17
2768,1633042,2014-08-17,M4L,0.000904,2014-08-17
2769,1628468,2014-08-17,M2R,0.0000871,2014-08-17
2770,1628857,2014-08-17,M8X,<0.00005,2014-08-17
2771,1628302,2014-08-17,M4J,0.000725,2014-08-17
2772,1628369,2014-08-17,M6S,0.00329,2014-08-17
2773,1630051,2014-08-18,M1L,<0.00005,2014-08-18
2774,1632616,2014-08-18,M6R,0.000135,2014-08-18
2775,1628460,2014-08-18,M2N,0.000160,2014-08-18
2776,1626992,2014-08-18,M4K,0.00109,2014-08-18
2777,1627278,2014-08-18,M4G,0.000247,2014-08-18
2778,1629918,2014-08-18,M4J,<0.00005,2014-08-18
2779,1628461,2014-08-18,M6P,0.00136,2014-08-18
2780,1628436,2014-08-18,M5P,0.00103,2014-08-18
2781,1632041,2014-08-18,M6A,0.000611,2014-08-18
2782,1630052,2014-08-18,M1E,0.000294,2014-08-18
2783,1629927,2014-08-18,M4L,0.000579,2014-08-18
2784,1628946,2014-08-19,M6N,0.00253,2014-08-19
2785,1628395,2014-08-19,M4X,0.000833,2014-08-19
2786,1632042,2014-08-19,M4P,0.00915,2014-08-19
2787,1628918,2014-08-19,M6H,0.0112,2014-08-19
2788,1628324,2014-08-19,M4K,0.00102,2014-08-19
2789,1632098,2014-08-19,M3H,<0.00005,2014-08-19
2790,1629928,2014-08-19,M4B,0.0000530,2014-08-19
2791,1632006,2014-08-19,M6L,0.0000804,2014-08-19
2792,1632056,2014-08-19,M6C,0.00244,2014-08-19
2793,1629911,2014-08-19,M4C,0.00298,2014-08-19
2794,1632062,2014-08-19,M5B,0.000395,2014-08-19
2795,1632127,2014-08-19,M5R,0.00107,2014-08-19
2796,1632064,2014-08-19,M4K,<0.00005,2014-08-19
2797,1631987,2014-08-20,M4E,0.000947,2014-08-20
2798,1631996,2014-08-20,M6G,0.0000971,2014-08-20
2799,1632083,2014-08-20,M4R,0.000206,2014-08-20
2800,1631989,2014-08-20,M6G,0.00108,2014-08-20
2801,1628397,2014-08-20,M1L,0.000180,2014-08-20
2802,1636196,2014-08-20,M1N,0.000910,2014-08-20
2803,1630076,2014-08-20,M4R,0.0000646,2014-08-20
2804,1632124,2014-08-20,M6B,0.000652,2014-08-20
2805,1628972,2014-08-20,M9B,0.0000965,2014-08-20
2806,1628989,2014-08-20,M6S,0.000175,2014-08-20
2807,1632624,2014-08-20,M6R,0.0000718,2014-08-20
2808,1632005,2014-08-20,M5M,0.000107,2014-08-20
2809,1631988,2014-08-20,M6E,0.000265,2014-08-20
2810,1628458,2014-08-20,M4R,<0.00005,2014-08-20
2811,1632901,2014-08-21,M1R,<0.00005,2014-08-21
2812,1632065,2014-08-21,M5R,0.000739,2014-08-21
2813,1632088,2014-08-21,M5M,0.00827,2014-08-21
2814,1633592,2014-08-21,M4C,0.00394,2014-08-21
2815,1633041,2014-08-21,M1R,<0.00005,2014-08-21
2816,1631991,2014-08-21,M4G,0.0000923,2014-08-21
2817,1632063,2014-08-21,M6H,0.000141,2014-08-21
2818,1632615,2014-08-22,M8Y,<0.00005,2014-08-22
2819,1632044,2014-08-22,M5R,0.0000728,2014-08-22
2820,1632923,2014-08-22,M1P,0.0000700,2014-08-22
2821,1632595,2014-08-22,M5N,<0.00005,2014-08-22
2822,1632614,2014-08-22,M6N,0.00101,2014-08-22
2823,1633572,2014-08-22,M4J,0.00484,2014-08-22
2824,1633605,2014-08-22,M4J,0.00122,2014-08-22
2825,1633597,2014-08-22,M1N,0.000541,2014-08-22
2826,1633595,2014-08-22,M4J,0.00120,2014-08-22
2827,1633571,2014-08-22,M4J,0.00162,2014-08-22
2828,1633606,2014-08-22,M4J,<0.00005,2014-08-22
2829,1634609,2014-08-22,M5M,<0.00005,2014-08-22
2830,1645177,2014-08-23,M8Y,0.000136,2014-08-23
2831,1632040,2014-08-24,M6S,0.0663,2014-08-24
2832,1636197,2014-08-24,M6P,0.000317,2014-08-24
2833,1634602,2014-08-24,M6E,0.0166,2014-08-24
2834,1636222,2014-08-24,M4C,0.00535,2014-08-24
2835,1632618,2014-08-24,M6N,0.572,2014-08-24
2836,1633598,2014-08-24,M4L,0.00371,2014-08-24
2837,1632623,2014-08-25,M8Z,<0.00005,2014-08-25
2838,1635166,2014-08-25,M6S,0.00731,2014-08-25
2839,1633564,2014-08-25,M1G,0.00245,2014-08-25
2840,1632619,2014-08-25,M6R,0.00124,2014-08-25
2841,1632620,2014-08-25,M9A,0.330,2014-08-25
2842,1636267,2014-08-25,M4K,0.000205,2014-08-25
2843,1633586,2014-08-25,M4J,0.00199,2014-08-25
2844,1631986,2014-08-26,M4M,0.0000542,2014-08-26
2845,1633607,2014-08-26,M4K,0.00673,2014-08-26
2846,1633594,2014-08-26,M4J,0.00183,2014-08-26
2847,1632043,2014-08-26,M6N,<0.00005,2014-08-26
2848,1633593,2014-08-26,M4L,0.000782,2014-08-26
2849,1633596,2014-08-26,M4C,0.0000912,2014-08-26
2850,1636201,2014-08-26,M5S,0.000425,2014-08-26
2851,1634605,2014-08-26,M4N,0.000164,2014-08-26
2852,1632617,2014-08-26,M9C,0.0000851,2014-08-26
2853,1636218,2014-08-26,M5M,0.000117,2014-08-26
2854,1634624,2014-08-27,M4N,0.00246,2014-08-27
2855,1636296,2014-08-27,M4G,0.000143,2014-08-27
2856,1633608,2014-08-27,M4K,0.00248,2014-08-27
2857,1635167,2014-08-27,M6S,0.000248,2014-08-27
2858,1636209,2014-08-27,M6G,0.00343,2014-08-27
2859,1636257,2014-08-27,M4E,0.00189,2014-08-27
2860,1635109,2014-08-27,M9W,0.000849,2014-08-27
2861,1635145,2014-08-27,M6P,0.000557,2014-08-27
2862,1634617,2014-08-27,M5N,0.0000957,2014-08-27
2863,1635129,2014-08-27,M6G,0.000341,2014-08-27
2864,1635110,2014-08-27,M6R,0.000496,2014-08-27
2865,1636266,2014-08-27,M4E,0.000287,2014-08-27
2866,1633563,2014-08-27,M4J,0.000153,2014-08-27
2867,1636298,2014-08-27,M5R,0.00330,2014-08-27
2868,1635165,2014-08-28,M6H,0.000952,2014-08-28
2869,1635172,2014-08-28,M6P,<0.00005,2014-08-28
2870,1636199,2014-08-28,M4B,<0.00005,2014-08-28
2871,1635163,2014-08-28,M6P,0.000431,2014-08-28
2872,1636258,2014-08-28,M1N,<0.00005,2014-08-28
2873,1636271,2014-08-28,M4C,0.00234,2014-08-28
2874,1632918,2014-08-28,M1K,<0.00005,2014-08-28
2875,1635144,2014-08-29,M1K,0.000301,2014-08-29
2876,1635149,2014-08-29,M6N,0.00447,2014-08-29
2877,1635161,2014-08-29,M6K,0.00135,2014-08-29
2878,1636195,2014-08-29,M9N,0.000121,2014-08-29
2879,1636269,2014-08-29,M4L,0.000196,2014-08-29
2880,1635164,2014-08-29,M6S,0.00270,2014-08-29
2881,1633573,2014-08-29,M4M,0.000135,2014-08-29
2882,1636215,2014-08-29,M4J,0.00283,2014-08-29
2883,1636213,2014-08-29,M4J,0.00214,2014-08-29
2884,1636198,2014-08-29,M3B,<0.00005,2014-08-29
2885,1636270,2014-08-29,M6J,0.0143,2014-08-29
2886,1636216,2014-08-29,M4L,0.00185,2014-08-29
2887,1636208,2014-08-29,M4C,0.000184,2014-08-29
2888,1636217,2014-08-30,M4C,0.00418,2014-08-30
2889,1637956,2014-08-30,M8X,<0.00005,2014-08-30
2890,1635146,2014-09-01,M6P,0.000441,2014-09-01
2891,1646574,2014-09-01,M4E,0.000423,2014-09-01
2892,1636293,2014-09-01,M4M,0.00382,2014-09-01
2893,1638224,2014-09-01,M6S,0.000254,2014-09-01
2894,1638040,2014-09-01,M2H,<0.00005,2014-09-01
2895,1635147,2014-09-02,M6P,0.0000530,2014-09-02
2896,1639253,2014-09-02,M4E,0.00310,2014-09-02
2897,1635148,2014-09-02,M4W,<0.00005,2014-09-02
2898,1638209,2014-09-02,M6J,0.00200,2014-09-02
2899,1639190,2014-09-02,M4M,0.0000713,2014-09-02
2900,1636200,2014-09-02,M4P,0.000112,2014-09-02
2901,1636214,2014-09-03,M4N,0.00595,2014-09-03
2902,1638564,2014-09-03,M9B,0.0000524,2014-09-03
2903,1636273,2014-09-03,M4E,0.00206,2014-09-03
2904,1639341,2014-09-03,M6N,0.00426,2014-09-03
2905,1636275,2014-09-03,M1G,0.000309,2014-09-03
2906,1636284,2014-09-03,M4J,<0.00005,2014-09-03
2907,1638556,2014-09-03,M6K,0.00278,2014-09-03
2908,1638552,2014-09-03,M5R,0.000711,2014-09-03
2909,1638562,2014-09-03,M6P,0.0000829,2014-09-03
2910,1639353,2014-09-03,M6H,0.000466,2014-09-03
2911,1638563,2014-09-03,M6H,0.000878,2014-09-03
2912,1639273,2014-09-04,M4S,0.00893,2014-09-04
2913,1636221,2014-09-04,M6E,0.00387,2014-09-04
2914,1638010,2014-09-04,M4N,0.00180,2014-09-04
2915,1637983,2014-09-04,M4E,0.00151,2014-09-04
2916,1637992,2014-09-04,M4L,0.00474,2014-09-04
2917,1635162,2014-09-04,M9A,0.000108,2014-09-04
2918,1636219,2014-09-04,M4G,0.000228,2014-09-04
2919,1639181,2014-09-04,M1N,0.00117,2014-09-04
2920,1638545,2014-09-04,M5P,0.00490,2014-09-04
2921,1636272,2014-09-04,M4C,0.00112,2014-09-04
2922,1637950,2014-09-04,M2N,0.000138,2014-09-04
2923,1639228,2014-09-04,M4K,0.00857,2014-09-04
2924,1639172,2014-09-04,M4T,0.0112,2014-09-04
2925,1636268,2014-09-04,M3C,0.00134,2014-09-04
2926,1639202,2014-09-04,M4B,<0.00005,2014-09-04
2927,1639173,2014-09-04,M4K,0.00149,2014-09-04
2928,1638218,2014-09-04,M4L,0.00569,2014-09-04
2929,1639182,2014-09-04,M4T,0.000291,2014-09-04
2930,1639338,2014-09-04,M6C,0.000186,2014-09-04
2931,1638044,2014-09-04,M2L,<0.00005,2014-09-04
2932,1637913,2014-09-05,M6K,0.000111,2014-09-05
2933,1636282,2014-09-05,M4M,0.0000991,2014-09-05
2934,1639167,2014-09-05,M4L,0.000899,2014-09-05
2935,1636220,2014-09-05,M6H,<0.00005,2014-09-05
2936,1639304,2014-09-05,M6S,0.00600,2014-09-05
2937,1637955,2014-09-05,M6S,0.00267,2014-09-05
2938,1637991,2014-09-05,M3H,0.000483,2014-09-05
2939,1638055,2014-09-05,M4N,0.0000729,2014-09-05
2940,1638015,2014-09-05,M5A,0.000135,2014-09-05
2941,1639166,2014-09-05,M4C,0.000934,2014-09-05
2942,1639198,2014-09-06,M4K,0.000101,2014-09-06
2943,1638561,2014-09-06,M6R,0.000113,2014-09-06
2944,1637892,2014-09-07,M5P,0.00314,2014-09-07
2945,1638020,2014-09-07,M6C,<0.00005,2014-09-07
2946,1637934,2014-09-07,M6C,<0.00005,2014-09-07
2947,1637888,2014-09-07,M5R,0.0000701,2014-09-07
2948,1637984,2014-09-07,M6K,0.0599,2014-09-07
2949,1637953,2014-09-07,M5N,<0.00005,2014-09-07
2950,1648686,2014-09-07,M6P,0.00327,2014-09-07
2951,1637989,2014-09-07,M6R,0.00319,2014-09-07
2952,1639244,2014-09-08,M4L,0.00262,2014-09-08
2953,1638048,2014-09-08,M4G,0.000163,2014-09-08
2954,1637930,2014-09-08,M4G,0.0000516,2014-09-08
2955,1639366,2014-09-08,M6S,<0.00005,2014-09-08
2956,1637935,2014-09-08,M3B,0.0000657,2014-09-08
2957,1639237,2014-09-08,M4S,<0.00005,2014-09-08
2958,1638036,2014-09-08,M5A,0.0138,2014-09-08
2959,1638572,2014-09-08,M5R,0.000473,2014-09-08
2960,1638565,2014-09-08,M6G,0.000186,2014-09-08
2961,1641206,2014-09-08,M6C,0.0000770,2014-09-08
2962,1641944,2014-09-08,M6G,0.0000856,2014-09-08
2963,1639252,2014-09-09,M3B,0.000281,2014-09-09
2964,1641889,2014-09-09,M3H,0.000471,2014-09-09
2965,1642805,2014-09-09,M1N,0.000449,2014-09-09
2966,1637981,2014-09-09,M4L,0.000151,2014-09-09
2967,1638560,2014-09-09,M6C,0.000113,2014-09-09
2968,1642612,2014-09-09,M5M,0.00369,2014-09-09
2969,1642628,2014-09-09,M6G,0.00205,2014-09-09
2970,1642803,2014-09-09,M4B,0.000131,2014-09-09
2971,1639168,2014-09-10,M4P,0.000108,2014-09-10
2972,1662812,2014-09-10,M5R,<0.00005,2014-09-10
2973,1641904,2014-09-10,M4K,0.000985,2014-09-10
2974,1641193,2014-09-10,M5S,<0.00005,2014-09-10
2975,1639254,2014-09-10,M4G,0.0103,2014-09-10
2976,1642808,2014-09-10,M6P,0.000241,2014-09-10
2977,1642810,2014-09-10,M4S,0.000446,2014-09-10
2978,1642616,2014-09-10,M6C,0.00113,2014-09-10
2979,1642630,2014-09-10,M6P,0.000247,2014-09-10
2980,1642607,2014-09-11,M4B,0.000142,2014-09-11
2981,1641191,2014-09-11,M4P,0.00200,2014-09-11
2982,1641322,2014-09-11,M4K,0.000217,2014-09-11
2983,1642643,2014-09-11,M9C,<0.00005,2014-09-11
2984,1642620,2014-09-11,M8Z,0.000101,2014-09-11
2985,1642582,2014-09-11,M9M,0.0000676,2014-09-11
2986,1642790,2014-09-11,M6R,0.0000901,2014-09-11
2987,1641898,2014-09-11,M5M,0.000685,2014-09-11
2988,1642800,2014-09-11,M1M,0.000145,2014-09-11
2989,1638542,2014-09-11,M5R,0.000171,2014-09-11
2990,1642652,2014-09-11,M4L,<0.00005,2014-09-11
2991,1642651,2014-09-11,M6P,0.00213,2014-09-11
2992,1642644,2014-09-11,M1T,<0.00005,2014-09-11
2993,1641298,2014-09-12,M4R,0.00209,2014-09-12
2994,1642811,2014-09-12,M4K,0.00110,2014-09-12
2995,1642642,2014-09-12,M6R,0.000616,2014-09-12
2996,1642614,2014-09-12,M6E,0.00139,2014-09-12
2997,1639186,2014-09-12,M1N,0.00173,2014-09-12
2998,1641309,2014-09-12,M4L,0.0132,2014-09-12
2999,1642615,2014-09-12,M5P,<0.00005,2014-09-12
3000,1642617,2014-09-12,M5P,0.0000547,2014-09-12
3001,1639243,2014-09-12,M4E,0.00188,2014-09-12
3002,1641189,2014-09-12,M4N,0.000113,2014-09-12
3003,1641205,2014-09-12,M4N,<0.00005,2014-09-12
3004,1641212,2014-09-12,M5M,0.00700,2014-09-12
3005,1642645,2014-09-12,M4A,0.0000733,2014-09-12
3006,1641909,2014-09-12,M4L,0.00129,2014-09-12
3007,1642654,2014-09-14,M4C,0.00158,2014-09-14
3008,1641940,2014-09-14,M6G,0.00242,2014-09-14
3009,1641937,2014-09-14,M4N,<0.00005,2014-09-14
3010,1641919,2014-09-14,M4R,0.000133,2014-09-14
3011,1642622,2014-09-14,M5P,0.000217,2014-09-14
3012,1641250,2014-09-14,M4B,0.0000656,2014-09-14
3013,1642804,2014-09-15,M4L,0.00392,2014-09-15
3014,1641923,2014-09-15,M4G,0.0000515,2014-09-15
3015,1642583,2014-09-15,M6J,0.0103,2014-09-15
3016,1642640,2014-09-15,M5N,0.000267,2014-09-15
3017,1642802,2014-09-15,M4K,0.000862,2014-09-15
3018,1645505,2014-09-15,M5P,0.0000669,2014-09-15
3019,1645104,2014-09-15,M4R,<0.00005,2014-09-15
3020,1641932,2014-09-15,M5N,0.00351,2014-09-15
3021,1641950,2014-09-15,M5M,0.00213,2014-09-15
3022,1644482,2014-09-15,M4T,0.000112,2014-09-15
3023,1640529,2014-09-16,M1X,0.0000919,2014-09-16
3024,1642801,2014-09-16,M4K,0.000176,2014-09-16
3025,1642807,2014-09-16,M1R,<0.00005,2014-09-16
3026,1642641,2014-09-16,M4E,0.000449,2014-09-16
3027,1644457,2014-09-16,M4V,0.000513,2014-09-16
3028,1644440,2014-09-16,M6H,0.00157,2014-09-16
3029,1642809,2014-09-16,M4L,0.000541,2014-09-16
3030,1644361,2014-09-16,M3H,0.000199,2014-09-16
3031,1645127,2014-09-16,M4N,0.00282,2014-09-16
3032,1642646,2014-09-17,M8W,0.00398,2014-09-17
3033,1642649,2014-09-17,M4J,0.00382,2014-09-17
3034,1645162,2014-09-17,M8Y,0.0000745,2014-09-17
3035,1645500,2014-09-17,M6R,0.0000948,2014-09-17
3036,1645139,2014-09-17,M5M,0.0109,2014-09-17
3037,1645504,2014-09-17,M6E,<0.00005,2014-09-17
3038,1644451,2014-09-17,M4T,0.000417,2014-09-17
3039,1642806,2014-09-17,M4L,0.000930,2014-09-17
3040,1644409,2014-09-17,M2N,<0.00005,2014-09-17
3041,1645160,2014-09-18,M9W,0.0000768,2014-09-18
3042,1645156,2014-09-18,M9A,0.0000674,2014-09-18
3043,1644441,2014-09-18,M1N,<0.00005,2014-09-18
3044,1644359,2014-09-18,M5R,0.000108,2014-09-18
3045,1646556,2014-09-18,M4J,0.000137,2014-09-18
3046,1644443,2014-09-18,M4P,0.00523,2014-09-18
3047,1645073,2014-09-18,M6H,0.000557,2014-09-18
3048,1645502,2014-09-18,M6K,0.00154,2014-09-18
3049,1645508,2014-09-19,M6E,0.000142,2014-09-19
3050,1644378,2014-09-19,M4N,0.0000680,2014-09-19
3051,1645506,2014-09-19,M6H,0.00282,2014-09-19
3052,1645503,2014-09-19,M5R,0.000631,2014-09-19
