_id,SampleNumber,SampleDate,PartialPostalCode,LeadAmount_ppm
78,4696192,2014-01-22 23:01:52.702006,M2N,0.0
79,1082879,2014-01-23 05:52:33.126708,M1T,<0.00005
80,3441477,2014-01-23 12:43:13.551409,M5E,0.009443856277023103
81,8694251,2014-01-23 19:33:53.976111,M4M,0.009599722229156834
82,1060370,2014-01-24 02:24:34.400812,M6P,0.011902501837063094
83,5353073,2014-01-24 09:15:14.825513,M1P,<0.00005
84,9365977,2014-01-24 16:05:55.250215,M6S,0.002860927592306947
85,4833372,2014-01-24 22:56:35.674916,M2N,0.01014219198290048
86,6417940,2014-01-25 05:47:16.099617,M6B,0.004350602004221317
87,4756950,2014-01-25 12:37:56.524319,M5G,0.0
88,1200750,2014-01-25 19:28:36.949020,M6E,0.00841461872921594
89,8473421,2014-01-26 02:19:17.373722,M4E,<0.00005
90,2550400,2014-01-26 09:09:57.798423,M4X,<0.00005
91,2558178,2014-01-26 16:00:38.223124,M4M,0.014560411888400692
92,8434992,2014-01-26 22:51:18.647826,M1K,0.0
93,5157597,2014-01-27 05:41:59.072527,M4M,<0.00005
94,3792164,2014-01-27 12:32:39.497229,M5J,0.008337120905630204
95,9155535,2014-01-27 19:23:19.921930,M9B,<0.00005
96,8397223,2014-01-28 02:14:00.346631,M6B,0.00952535650646498
97,1863043,2014-01-28 09:04:40.771333,M1L,<0.00005
98,6139672,2014-01-28 15:55:21.196034,M9L,0.006496855848981641
99,9708728,2014-01-28 22:46:01.620735,M6B,<0.00005
100,1033640,2014-01-29 05:36:42.045437,M2K,<0.00005
101,1324030,2014-01-29 12:27:22.470138,M9W,0.004966926997864684
102,5295539,2014-01-29 19:18:02.894840,M1L,<0.00005
103,3469694,2014-01-30 02:08:43.319541,M6A,<0.00005
104,6071710,2014-01-30 08:59:23.744242,M8W,0.0039808395893347
105,1822617,2014-01-30 15:50:04.168944,M4B,0.008573318420776826
106,5059880,2014-01-30 22:40:44.593645,M1T,<0.00005
107,8062699,2014-01-31 05:31:25.018346,M8V,<0.00005
108,8221506,2014-01-31 12:22:05.443048,M4L,0.0010510740516606523
109,5319698,2014-01-31 19:12:45.867749,M6R,<0.00005
110,6979861,2014-02-01 02:03:26.292451,M2M,0.006238247119139404
111,9536123,2014-02-01 08:54:06.717152,M3J,<0.00005
112,7938011,2014-02-01 15:44:47.141853,M1R,0.0
113,4661131,2014-02-01 22:35:27.566555,M4L,0.007864294637791055
114,6008532,2014-02-02 05:26:07.991256,M9W,<0.00005
115,7881813,2014-02-02 12:16:48.415958,M8V,0.005246748193450756
116,1335276,2014-02-02 19:07:28.840659,M2N,<0.00005
117,5109620,2014-02-03 01:58:09.265360,M1T,<0.00005
118,8053715,2014-02-03 08:48:49.690062,M5E,0.012845761492995066
119,6268340,2014-02-03 15:39:30.114763,M4X,0.004758260673692189
120,9868715,2014-02-03 22:30:10.539464,M4E,0.004113734357551448
121,5823154,2014-02-04 05:20:50.964166,M1H,0.007220024880690963
122,2334492,2014-02-04 12:11:31.388867,M8W,0.0
123,8999211,2014-02-04 19:02:11.813569,M6J,<0.00005
124,6301297,2014-02-05 01:52:52.238270,M5V,0.002850186450702365
125,7689625,2014-02-05 08:43:32.662971,M9R,0.0017361766993004586
126,9443034,2014-02-05 15:34:13.087673,M1B,0.0019446373267268525
127,3033195,2014-02-05 22:24:53.512374,M9V,0.008783112563856986
128,8246092,2014-02-06 05:15:33.937075,M1P,0.0038085176727755293
129,1133540,2014-02-06 12:06:14.361777,M3N,<0.00005
130,7534271,2014-02-06 18:56:54.786478,M8Y,0.011295539032532371
131,8973761,2014-02-07 01:47:35.211180,M4R,<0.00005
132,4158781,2014-02-07 08:38:15.635881,M9B,0.0008304798001229543
133,1605715,2014-02-07 15:28:56.060582,M3K,0.008177661976130677
134,8741331,2014-02-07 22:19:36.485284,M3A,0.0
135,4770426,2014-02-08 05:10:16.909985,M4A,<0.00005
136,6202831,2014-02-08 12:00:57.334687,M8Y,<0.00005
137,7683819,2014-02-08 18:51:37.759388,M5G,0.00992575641760721
138,7405822,2014-02-09 01:42:18.184089,M3J,<0.00005
139,2732606,2014-02-09 08:32:58.608791,M5B,<0.00005
140,6229624,2014-02-09 15:23:39.033492,M4S,0.00996035055567867
141,3095093,2014-02-09 22:14:19.458193,M8Y,<0.00005
142,1528963,2014-02-10 05:04:59.882895,M5A,0.004577875501671776
143,7776911,2014-02-10 11:55:40.307596,M9P,0.004901105772807036
144,1847650,2014-02-10 18:46:20.732298,M4B,0.0025289785668066076
145,9406127,2014-02-11 01:37:01.156999,M1E,<0.00005
146,4123333,2014-02-11 08:27:41.581700,M9R,<0.00005
147,2851153,2014-02-11 15:18:22.006402,M2L,0.009680655765521115
148,9566068,2014-02-11 22:09:02.431103,M1R,0.012265961876400633
149,5051105,2014-02-12 04:59:42.855805,M1K,0.00825902774728575
150,4685563,2014-02-12 11:50:23.280506,M4R,0.007088882683309129
151,2194268,2014-02-12 18:41:03.705207,M1B,<0.00005
152,2076160,2014-02-13 01:31:44.129909,M3C,0.0
153,4020626,2014-02-13 08:22:24.554610,M5P,0.010308476389562584
154,2941466,2014-02-13 15:13:04.979311,M6K,0.0
155,6314153,2014-02-13 22:03:45.404013,M1G,0.0
156,9517631,2014-02-14 04:54:25.828714,M5C,0.01579201325911848
157,9469417,2014-02-14 11:45:06.253416,M1M,0.005115444933050572
158,9479057,2014-02-14 18:35:46.678117,M6P,0.0013611485026802732
159,8555329,2014-02-15 01:26:27.102818,M3B,0.00742639762112754
160,4762918,2014-02-15 08:17:07.527520,M2P,<0.00005
161,6831285,2014-02-15 15:07:47.952221,M6E,0.0037897654156560613
162,4524531,2014-02-15 21:58:28.376922,M1R,0.003128416435378988
163,3574260,2014-02-16 04:49:08.801624,M4N,<0.00005
164,1329059,2014-02-16 11:39:49.226325,M4V,<0.00005
165,1587911,2014-02-16 18:30:29.651027,M5M,0.0
166,5680865,2014-02-17 01:21:10.075728,M1T,0.0
167,9097163,2014-02-17 08:11:50.500429,M1B,0.00288963794439156
168,9054646,2014-02-17 15:02:30.925131,M2R,0.00526602537152053
169,6815889,2014-02-17 21:53:11.349832,M2M,<0.00005
170,5168557,2014-02-18 04:43:51.774534,M9B,0.002647605986577741
171,5358458,2014-02-18 11:34:32.199235,M1L,<0.00005
172,4510816,2014-02-18 18:25:12.623936,M1N,0.007801639901334577
173,7593159,2014-02-19 01:15:53.048638,M9N,0.009936875739832509
174,7314836,2014-02-19 08:06:33.473339,M8Z,0.0038705082586583547
175,2526652,2014-02-19 14:57:13.898040,M5J,0.011816670480509755
176,8811617,2014-02-19 21:47:54.322742,M6M,<0.00005
177,4710366,2014-02-20 04:38:34.747443,M5A,0.008129804253153478
178,9835267,2014-02-20 11:29:15.172145,M1S,0.008124077783118614
179,6437071,2014-02-20 18:19:55.596846,M6N,0.005715736024772942
180,1558693,2014-02-21 01:10:36.021547,M2J,<0.00005
181,2318159,2014-02-21 08:01:16.446249,M1J,0.010476742461108336
182,9381435,2014-02-21 14:51:56.870950,M4V,0.006965357478688029
183,2569516,2014-02-21 21:42:37.295651,M1X,<0.00005
184,8492613,2014-02-22 04:33:17.720353,M1L,0.009172629961450083
185,4621340,2014-02-22 11:23:58.145054,M1W,0.004077269073080149
186,8927898,2014-02-22 18:14:38.569756,M1H,0.013943361865924757
187,7182371,2014-02-23 01:05:18.994457,M3L,<0.00005
188,1869012,2014-02-23 07:55:59.419158,M1C,<0.00005
189,6105038,2014-02-23 14:46:39.843860,M9B,0.002384973026154284
190,5250674,2014-02-23 21:37:20.268561,M1M,<0.00005
191,3996016,2014-02-24 04:28:00.693263,M9C,<0.00005
192,6553219,2014-02-24 11:18:41.117964,M5A,0.005342757413956142
193,8924246,2014-02-24 18:09:21.542665,M4M,0.0033883935028531766
194,4713318,2014-02-25 01:00:01.967367,M1B,0.008518954645114832
195,2053713,2014-02-25 07:50:42.392068,M9A,0.0036469875608269612
196,4034939,2014-02-25 14:41:22.816769,M8V,<0.00005
197,1715193,2014-02-25 21:32:03.241471,M4B,0.002586205104376961
198,6509598,2014-02-26 04:22:43.666172,M3K,0.003229484100942778
199,9630496,2014-02-26 11:13:24.090874,M5H,0.008532303334215488
200,9240129,2014-02-26 18:04:04.515575,M6A,0.003253516435003081
201,2228158,2014-02-27 00:54:44.940276,M5M,0.0
202,7007908,2014-02-27 07:45:25.364978,M4P,0.004020456922713957
203,5089878,2014-02-27 14:36:05.789679,M6N,0.009641088260413329
204,2306949,2014-02-27 21:26:46.214381,M1H,<0.00005
205,9815357,2014-02-28 04:17:26.639082,M9V,0.015119243620871702
206,3789626,2014-02-28 11:08:07.063783,M3N,0.014744031590716657
207,8537672,2014-02-28 17:58:47.488485,M5A,0.014131154733782497
208,8016261,2014-03-01 00:49:27.913186,M1H,0.002411103150838698
209,9405173,2014-03-01 07:40:08.337887,M2N,0.004427419910973845
210,5570416,2014-03-01 14:30:48.762589,M5B,0.006224974052815989
211,6185947,2014-03-01 21:21:29.187290,M4M,<0.00005
212,6659603,2014-03-02 04:12:09.611992,M9M,0.009426381283154248
213,4575825,2014-03-02 11:02:50.036693,M4P,0.005998140130792996
214,9751930,2014-03-02 17:53:30.461394,M5V,0.01264939203427708
215,7969612,2014-03-03 00:44:10.886096,M5R,<0.00005
216,6372134,2014-03-03 07:34:51.310797,M5J,0.0032451426840119776
217,3964714,2014-03-03 14:25:31.735498,M3K,0.0025519223419730058
218,2845845,2014-03-03 21:16:12.160200,M4B,<0.00005
219,9085845,2014-03-04 04:06:52.584901,M8Z,<0.00005
220,6450458,2014-03-04 10:57:33.009603,M8W,0.005693529735565956
221,1594989,2014-03-04 17:48:13.434304,M4R,0.0011307003335066508
222,8407707,2014-03-05 00:38:53.859005,M9L,0.009539154979054925
223,1453490,2014-03-05 07:29:34.283707,M6C,0.004563709447517269
224,4088511,2014-03-05 14:20:14.708408,M2H,0.0031361115762597244
225,8482270,2014-03-05 21:10:55.133110,M6B,0.0
226,8550823,2014-03-06 04:01:35.557811,M6L,0.007878766587316545
227,9894094,2014-03-06 10:52:15.982512,M9V,<0.00005
228,5643505,2014-03-06 17:42:56.407214,M1K,0.008442933277297265
229,4206672,2014-03-07 00:33:36.831915,M9C,<0.00005
230,3044039,2014-03-07 07:24:17.256616,M1X,0.013795309910359089
231,4610426,2014-03-07 14:14:57.681318,M5E,0.0
232,7541285,2014-03-07 21:05:38.106019,M5G,<0.00005
233,8148671,2014-03-08 03:56:18.530721,M4A,<0.00005
234,8521583,2014-03-08 10:46:58.955422,M3L,<0.00005
235,7829263,2014-03-08 17:37:39.380123,M3N,<0.00005
236,6523717,2014-03-09 00:28:19.804825,M4A,0.0020458477861924
237,6184251,2014-03-09 07:19:00.229526,M4T,0.018972067022606263
238,6459131,2014-03-09 14:09:40.654227,M4Y,0.006781974947475181
239,1461552,2014-03-09 21:00:21.078929,M4A,<0.00005
240,6904149,2014-03-10 03:51:01.503630,M3C,0.005005097617298692
241,5268673,2014-03-10 10:41:41.928332,M3N,<0.00005
242,6749326,2014-03-10 17:32:22.353033,M1K,0.007779908298222197
243,1464001,2014-03-11 00:23:02.777734,M5N,<0.00005
244,1821582,2014-03-11 07:13:43.202436,M5E,<0.00005
245,1504389,2014-03-11 14:04:23.627137,M1W,<0.00005
246,4806577,2014-03-11 20:55:04.051839,M2H,0.003608651628690958
247,8746371,2014-03-12 03:45:44.476540,M4E,0.0028198549906420156
248,1890047,2014-03-12 10:36:24.901241,M9N,<0.00005
249,3465839,2014-03-12 17:27:05.325943,M9P,<0.00005
250,2338847,2014-03-13 00:17:45.750644,M1T,<0.00005
251,9087339,2014-03-13 07:08:26.175345,M1W,0.004828112214983126
252,2877563,2014-03-13 13:59:06.600047,M5M,0.009908302723769654
253,7048158,2014-03-13 20:49:47.024748,M1H,0.0026762983583268275
254,3652218,2014-03-14 03:40:27.449450,M6S,0.0
255,7457361,2014-03-14 10:31:07.874151,M5H,0.005067511994218824
256,9618179,2014-03-14 17:21:48.298852,M6E,0.0025586389840246593
257,7970568,2014-03-15 00:12:28.723554,M4P,0.004885621993763829
258,5654016,2014-03-15 07:03:09.148255,M1J,<0.00005
259,1513980,2014-03-15 13:53:49.572957,M1E,0.008039579258370564
260,7345610,2014-03-15 20:44:29.997658,M9C,0.015080680522724745
261,1072540,2014-03-16 03:35:10.422359,M5P,<0.00005
262,5642569,2014-03-16 10:25:50.847061,M9W,0.012656363799554754
263,2188411,2014-03-16 17:16:31.271762,M4R,<0.00005
264,8130641,2014-03-17 00:07:11.696463,M4K,<0.00005
265,2217605,2014-03-17 06:57:52.121165,M9L,0.004337460110476206
266,4194623,2014-03-17 13:48:32.545866,M4N,0.014141555646995988
267,6410729,2014-03-17 20:39:12.970568,M4N,0.0
268,8346159,2014-03-18 03:29:53.395269,M5C,0.010205684817012447
269,5077793,2014-03-18 10:20:33.819970,M4W,0.007107385788391762
270,7005389,2014-03-18 17:11:14.244672,M8V,0.008337188244872014
271,4184918,2014-03-19 00:01:54.669373,M9R,0.011678112405048898
272,9498072,2014-03-19 06:52:35.094074,M4T,0.0077563158315375035
273,5935527,2014-03-19 13:43:15.518776,M4W,0.0119289202698664
274,2804505,2014-03-19 20:33:55.943477,M3B,<0.00005
275,8997090,2014-03-20 03:24:36.368179,M5V,<0.00005
276,5805717,2014-03-20 10:15:16.792880,M1S,<0.00005
277,5249072,2014-03-20 17:05:57.217581,M6J,0.009841821963869575
278,9137953,2014-03-20 23:56:37.642283,M5E,<0.00005
279,9249849,2014-03-21 06:47:18.066984,M5P,<0.00005
280,6852087,2014-03-21 13:37:58.491686,M1J,<0.00005
281,9251338,2014-03-21 20:28:38.916387,M2K,0.0
282,9238110,2014-03-22 03:19:19.341088,M3N,<0.00005
283,3086779,2014-03-22 10:09:59.765790,M8W,<0.00005
284,5129590,2014-03-22 17:00:40.190491,M3H,0.007322572437482373
285,5107441,2014-03-22 23:51:20.615192,M1C,0.01035042174958249
286,1835737,2014-03-23 06:42:01.039894,M5N,<0.00005
287,2362867,2014-03-23 13:32:41.464595,M5T,0.006091707262675347
288,3784127,2014-03-23 20:23:21.889297,M6J,<0.00005
289,9368395,2014-03-24 03:14:02.313998,M5A,0.0
290,6303155,2014-03-24 10:04:42.738699,M5A,0.004777272290878939
291,9026261,2014-03-24 16:55:23.163401,M1V,0.006162060047161151
292,3719732,2014-03-24 23:46:03.588102,M6H,0.003884672776660436
293,4048924,2014-03-25 06:36:44.012803,M1E,<0.00005
294,5024649,2014-03-25 13:27:24.437505,M3C,0.007056247911756455
295,8991728,2014-03-25 20:18:04.862206,M4N,0.0
296,6243613,2014-03-26 03:08:45.286908,M2P,<0.00005
297,1381196,2014-03-26 09:59:25.711609,M2J,<0.00005
298,1897768,2014-03-26 16:50:06.136310,M2J,0.00595093092923845
299,8088911,2014-03-26 23:40:46.561012,M8Y,<0.00005
300,3167673,2014-03-27 06:31:26.985713,M5A,0.01371993712599038
301,7412710,2014-03-27 13:22:07.410415,M1V,0.0
302,2862123,2014-03-27 20:12:47.835116,M1M,0.008539971799439907
303,4799309,2014-03-28 03:03:28.259817,M6J,<0.00005
304,4289612,2014-03-28 09:54:08.684519,M5H,0.003956383064606707
305,7682994,2014-03-28 16:44:49.109220,M6R,<0.00005
306,7641351,2014-03-28 23:35:29.533921,M5S,0.0025991143415903936
307,9160686,2014-03-29 06:26:09.958623,M9P,0.011811261476941011
308,7792583,2014-03-29 13:16:50.383324,M9A,<0.00005
309,7946447,2014-03-29 20:07:30.808026,M4L,0.012271111687100593
310,8071791,2014-03-30 02:58:11.232727,M6C,0.004684842754023753
311,3712068,2014-03-30 09:48:51.657428,M6C,0.011527431541647513
312,3977424,2014-03-30 16:39:32.082130,M6K,<0.00005
313,5421908,2014-03-30 23:30:12.506831,M6A,<0.00005
314,6655508,2014-03-31 06:20:52.931533,M6N,0.01330737714764451
315,6743765,2014-03-31 13:11:33.356234,M2J,0.004252851049216028
316,4542480,2014-03-31 20:02:13.780935,M2N,0.0065845911663473524
317,2629711,2014-04-01 02:52:54.205637,M4P,0.00040380064630378236
318,8852655,2014-04-01 09:43:34.630338,M5A,0.0028292537113132
319,5022490,2014-04-01 16:34:15.055039,M1B,0.013258315635033522
320,8226639,2014-04-01 23:24:55.479741,M6L,<0.00005
321,8599120,2014-04-02 06:15:35.904442,M6B,0.006059421009412109
322,4413774,2014-04-02 13:06:16.329144,M1T,<0.00005
323,2738703,2014-04-02 19:56:56.753845,M8W,0.0069357020954873665
324,3999154,2014-04-03 02:47:37.178546,M3K,<0.00005
325,1897698,2014-04-03 09:38:17.603248,M1N,<0.00005
326,1678504,2014-04-03 16:28:58.027949,M4N,0.0
327,8739901,2014-04-03 23:19:38.452650,M1H,<0.00005
328,2542560,2014-04-04 06:10:18.877352,M1W,0.0
329,5285657,2014-04-04 13:00:59.302053,M6P,0.00062491145394285
330,9838973,2014-04-04 19:51:39.726755,M5C,0.007541229933649087
331,7148186,2014-04-05 02:42:20.151456,M3M,<0.00005
332,6432834,2014-04-05 09:33:00.576157,M2M,0.015133014478641255
333,7367928,2014-04-05 16:23:41.000859,M1G,0.009169182916993618
334,2691216,2014-04-05 23:14:21.425560,M9P,0.004145973109003281
335,5709706,2014-04-06 06:05:01.850262,M1W,0.003506484625086825
336,8704141,2014-04-06 12:55:42.274963,M1G,0.004825352454748681
337,9409289,2014-04-06 19:46:22.699664,M4R,<0.00005
338,2193969,2014-04-07 02:37:03.124366,M1L,<0.00005
339,5336088,2014-04-07 09:27:43.549067,M1N,0.004464254384033825
340,2882538,2014-04-07 16:18:23.973768,M4V,0.011626021927191928
341,3373485,2014-04-07 23:09:04.398470,M4G,0.0015954750678892392
342,5119265,2014-04-08 05:59:44.823171,M9M,0.0035633115638799935
343,1099644,2014-04-08 12:50:25.247873,M2J,<0.00005
344,6068334,2014-04-08 19:41:05.672574,M4X,0.0
345,5431451,2014-04-09 02:31:46.097275,M5R,0.00334509603694131
346,4711189,2014-04-09 09:22:26.521977,M5E,0.004061487256571573
347,8335613,2014-04-09 16:13:06.946678,M6B,0.003920666156073706
348,2468785,2014-04-09 23:03:47.371379,M6M,0.0036350794685047253
349,6138839,2014-04-10 05:54:27.796081,M8X,0.00820388280178723
350,2446393,2014-04-10 12:45:08.220782,M2P,<0.00005
351,6415747,2014-04-10 19:35:48.645484,M6R,0.0017885933210500687
352,3114431,2014-04-11 02:26:29.070185,M4G,0.006702031656263636
353,4556759,2014-04-11 09:17:09.494886,M5C,<0.00005
354,6928971,2014-04-11 16:07:49.919588,M3C,0.009095111601321558
355,8355955,2014-04-11 22:58:30.344289,M9N,0.0
356,9379936,2014-04-12 05:49:10.768991,M5H,0.0
357,2320655,2014-04-12 12:39:51.193692,M5H,<0.00005
358,7811962,2014-04-12 19:30:31.618393,M6K,0.009525560017902902
359,4228868,2014-04-13 02:21:12.043095,M3H,<0.00005
360,1573363,2014-04-13 09:11:52.467796,M9R,0.008597223950410736
361,7318800,2014-04-13 16:02:32.892497,M1M,0.008521806690628577
362,3436930,2014-04-13 22:53:13.317199,M3B,0.004646450351502286
363,7494378,2014-04-14 05:43:53.741900,M3L,0.006888139924518548
364,7098292,2014-04-14 12:34:34.166602,M9V,0.0008849101870451242
365,2477962,2014-04-14 19:25:14.591303,M5G,0.007446767926591876
366,7331788,2014-04-15 02:15:55.016004,M8W,0.006886087236859679
367,8523398,2014-04-15 09:06:35.440706,M1V,0.0036426568866214674
368,5003729,2014-04-15 15:57:15.865407,M4R,0.0041771185387760095
369,2563649,2014-04-15 22:47:56.290109,M3A,0.008822352140378414
370,4300411,2014-04-16 05:38:36.714810,M4L,0.009725903345916428
371,4798860,2014-04-16 12:29:17.139511,M6L,<0.00005
372,3521834,2014-04-16 19:19:57.564213,M6G,0.006011985563018889
373,7492328,2014-04-17 02:10:37.988914,M1R,8.273810781202727e-05
374,7326213,2014-04-17 09:01:18.413615,M3A,0.0056636375909453595
375,3529464,2014-04-17 15:51:58.838317,M5M,0.006908018627042573
376,4812627,2014-04-17 22:42:39.263018,M4R,<0.00005
377,1225391,2014-04-18 05:33:19.687720,M1S,0.006290334601808357
378,9651813,2014-04-18 12:24:00.112421,M4B,<0.00005
379,9486427,2014-04-18 19:14:40.537122,M9W,0.003452062801872359
380,8140384,2014-04-19 02:05:20.961824,M2P,0.006060848042327525
381,2659663,2014-04-19 08:56:01.386525,M1S,<0.00005
382,5856663,2014-04-19 15:46:41.811226,M1J,<0.00005
383,3304634,2014-04-19 22:37:22.235928,M8X,0.006480582591250006
384,3112894,2014-04-20 05:28:02.660629,M2L,0.005031584007608533
385,2310622,2014-04-20 12:18:43.085331,M5P,0.0
386,7155926,2014-04-20 19:09:23.510032,M3B,0.0
387,8393951,2014-04-21 02:00:03.934733,M6R,0.003846146599922152
388,5679045,2014-04-21 08:50:44.359435,M8V,<0.00005
389,4104159,2014-04-21 15:41:24.784136,M1R,0.0005244603036627235
390,2102066,2014-04-21 22:32:05.208838,M3L,0.005473708801027117
391,8043167,2014-04-22 05:22:45.633539,M5H,<0.00005
392,3811851,2014-04-22 12:13:26.058240,M1W,<0.00005
393,2243555,2014-04-22 19:04:06.482942,M6M,0.013732124350648418
394,6491283,2014-04-23 01:54:46.907643,M2K,0.0007632650037103592
395,4234344,2014-04-23 08:45:27.332344,M3H,0.003796147827902654
396,8620177,2014-04-23 15:36:07.757046,M8X,0.009554362135926895
397,3181180,2014-04-23 22:26:48.181747,M4M,<0.00005
398,2664660,2014-04-24 05:17:28.606449,M1G,<0.00005
399,7037169,2014-04-24 12:08:09.031150,M9W,0.003657301478906216
400,6473987,2014-04-24 18:58:49.455851,M2H,<0.00005
401,9211847,2014-04-25 01:49:29.880553,M9V,0.0012295015455132596
402,2500313,2014-04-25 08:40:10.305254,M6P,0.0008560335387155626
403,6043022,2014-04-25 15:30:50.729956,M3A,0.007989812819720207
404,5728809,2014-04-25 22:21:31.154657,M4P,0.003231993134881142
405,2008487,2014-04-26 05:12:11.579358,M4J,0.0
406,9087362,2014-04-26 12:02:52.004060,M2N,<0.00005
407,4055820,2014-04-26 18:53:32.428761,M5P,<0.00005
408,9953770,2014-04-27 01:44:12.853462,M6E,0.017888245958170332
409,2263685,2014-04-27 08:34:53.278164,M3J,0.0009684666564483187
410,9970562,2014-04-27 15:25:33.702865,M2J,<0.00005
411,1106097,2014-04-27 22:16:14.127567,M4E,0.003527300729720638
412,7095770,2014-04-28 05:06:54.552268,M1K,0.008409209635811609
413,8678621,2014-04-28 11:57:34.976969,M4S,<0.00005
